@relation testeZeroA

@attribute hu0 numeric
@attribute hu1 numeric
@attribute hu2 numeric
@attribute hu3 numeric
@attribute hu4 numeric
@attribute hu5 numeric
@attribute hu6 numeric
@attribute shp0 numeric
@attribute shp1 numeric
@attribute groups {ZERO,SETE,TRES,QUATRO,NOVE,SEIS,OITO,DEZ,UM,CINCO,DOIS,ONZE}
@attribute label {I,Aviao,Adulto,O,Casa,P,Pedra,E,DOIS,Verbo,Identidade,L,W,QUATRO,Junto,Y,U,UM,C,T,N,V,Lei,S,D,A,B,Gasolina,Palavra,Pequeno,G,SETE,F,X,CINCO,America,NOVE,Q,M,R}


@data
0.416557,0.102116,0.195636,0.149928,0.0256197,0.0459373,0.00171739,2,1,?,?
0.510427,0.178117,0.09898,0.0573304,0.00428506,0.0215913,-0.000537808,0,0,?,?
0.345086,0.0826303,0.00824563,0.00156085,3.02454e-06,6.91819e-05,-4.71242e-06,1,1,?,?
1.18246,1.16656,3.82867,3.38918,12.2065,3.56748,0.228716,1,1,?,?
0.456567,0.157154,0.0104246,0.00149988,3.68976e-06,0.000326529,4.64331e-06,5,3,?,?
0.322424,0.0621775,0.00914378,0.00229473,1.00938e-05,0.000531832,2.93335e-06,5,6,?,?
0.245996,0.0211417,0.00491185,0.000339042,-2.07512e-07,-1.69447e-05,3.85184e-07,3,3,?,?
0.207024,0.00730121,0.00247877,0.000112698,-1.5334e-08,-7.81301e-06,-5.75578e-08,4,2,?,?
0.226088,0.0133726,0.00255636,0.000179965,3.23214e-08,-8.69189e-06,-1.17708e-07,7,6,?,?
0.250165,0.0228734,0.0036012,0.000585463,5.4434e-07,6.43899e-07,-6.52974e-07,4,6,?,?
0.255315,0.0231566,0.00483792,0.000895662,1.41697e-06,2.39992e-05,-1.21173e-06,1,5,?,?
0.265119,0.0248998,0.00779815,0.00234846,9.48726e-06,0.000213764,-3.31612e-06,2,4,?,?
0.267322,0.024855,0.00898152,0.00321855,1.68065e-05,0.000340172,-4.12267e-06,2,6,?,?
0.267344,0.0242305,0.00895377,0.00320294,1.66163e-05,0.000332779,-4.25529e-06,1,4,?,?
0.264298,0.024076,0.0084268,0.00274855,1.26377e-05,0.000270449,-3.90659e-06,3,5,?,?
0.256098,0.0214654,0.00706758,0.00216009,7.94588e-06,0.000183119,-2.84548e-06,3,5,?,?
0.260266,0.0230279,0.00724693,0.00212131,7.70105e-06,0.000178079,-3.14185e-06,2,4,?,?
0.254597,0.0206624,0.00669669,0.00198616,6.72857e-06,0.000149019,-2.68236e-06,1,4,?,?
0.259595,0.0221648,0.00693384,0.00210149,7.45115e-06,0.00016546,-2.97171e-06,3,4,?,?
0.256847,0.0214454,0.006387,0.00189346,6.08437e-06,0.000138936,-2.5175e-06,3,4,?,?
0.253157,0.0205538,0.0059772,0.0017302,5.08902e-06,0.000121419,-2.24964e-06,3,5,?,?
0.251842,0.0200071,0.00562636,0.00158971,4.35094e-06,0.000104551,-1.91656e-06,3,6,?,?
0.249976,0.0191785,0.00528034,0.00145358,3.63191e-06,8.34217e-05,-1.73966e-06,2,6,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0.165926,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
